City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Labrea,BR,2021-11-01 01:04:58,-7.2586,-64.7981,79.21,73,94,2.62
67,Enumclaw,US,2021-11-01 01:00:53,47.2043,-121.9915,52.83,73,6,4.68
68,Plettenberg Bay,ZA,2021-11-01 01:04:59,-34.0527,23.3716,61.74,88,57,12.71
69,Price,US,2021-11-01 01:05:00,39.5994,-110.8107,54.66,50,90,4.61
70,Kruisfontein,ZA,2021-11-01 01:03:26,-34.0033,24.7314,61.88,84,100,11.81
71,Thompson,CA,2021-11-01 01:04:34,55.7435,-97.8558,29.12,74,100,7.18
72,Kavieng,PG,2021-11-01 01:05:02,-2.5744,150.7967,85.95,63,46,14.9
73,Murray Bridge,AU,2021-11-01 01:05:03,-35.1167,139.2667,80.85,17,0,11.03
74,Coquimbo,CL,2021-11-01 01:00:39,-29.9533,-71.3436,58.66,81,100,1.59
75,Kikwit,CD,2021-11-01 01:05:04,-5.041,18.8162,68.65,99,100,0.45
76,Khatanga,RU,2021-11-01 01:05:05,71.9667,102.5,5.4,96,100,11.9
77,Punta Arenas,CL,2021-11-01 01:05:07,-53.15,-70.9167,50.11,53,0,8.05
78,New Norfolk,AU,2021-11-01 01:05:07,-42.7826,147.0587,63.66,50,100,3.0
79,Liseleje,DK,2021-11-01 01:05:08,56.0053,11.9483,57.02,88,100,3.0
80,Kupang,ID,2021-11-01 01:05:09,-10.1667,123.5833,88.38,62,20,4.61
81,Arona,ES,2021-11-01 01:05:09,28.0996,-16.681,66.7,63,0,9.22
82,Snasa,NO,2021-11-01 01:05:10,64.2457,12.3778,42.37,83,100,6.53
83,Nuuk,GL,2021-11-01 01:03:07,64.1835,-51.7216,36.21,87,90,23.02
84,Khani,GE,2021-11-01 01:05:12,41.9563,42.9566,54.97,74,100,6.89
85,Barrow,US,2021-11-01 01:04:49,71.2906,-156.7887,24.82,80,1,14.97
86,Hami,CN,2021-11-01 01:05:13,42.8,93.45,48.6,49,100,2.08
