City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
107,Sydney,AU,63.84,light intensity shower rain,-33.8679,151.2073,The Grace Sydney
108,Ribeira Grande,PT,61.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
109,Cape Town,ZA,75.61,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
110,Bereda,ES,55.15,broken clouds,43.2686,-7.5406,Pazo de Verdes
111,Loandjili,CG,84.31,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
112,Rawson,AR,65.97,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
115,Agadir,MA,72.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
116,Mataura,NZ,59.49,broken clouds,-46.1927,168.8643,Ellie's Villa
117,Hilo,US,71.62,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
118,Los Llanos De Aridane,ES,64.15,few clouds,28.6585,-17.9182,Valle Aridane
119,Necochea,AR,70.59,clear sky,-38.5473,-58.7368,dyd -mar Hotel
120,Tiarei,PF,73.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
121,Vestmannaeyjar,IS,45.59,mist,63.4427,-20.2734,Glamping & Camping
124,Atuona,PF,77.92,scattered clouds,-9.8,-139.0333,Villa Enata
125,Lebu,CL,60.96,clear sky,-37.6167,-73.65,Hostal Las Lilas
126,Vila Franca Do Campo,PT,63.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
128,Kruisfontein,ZA,74.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
129,Port Elizabeth,ZA,77.29,few clouds,-33.918,25.5701,39 On Nile Guest House
133,Arnprior,CA,34.57,overcast clouds,45.4334,-76.3494,Country Squire Motel
134,Gizo,SB,81.95,overcast clouds,-8.103,156.8419,Imagination Island
135,Ellsworth,US,44.26,clear sky,44.5434,-68.4195,Hampton Inn Ellsworth/Bar Harbor
136,Ngunguru,NZ,66.13,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
137,Nouadhibou,MR,80.58,clear sky,20.931,-17.0347,El Medina
138,Hithadhoo,MV,82.78,clear sky,-0.6,73.0833,Scoop Guest House
139,Gondanglegi,ID,75.27,moderate rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
140,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
141,Mehran,IR,74.46,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
142,Ballina,AU,69.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
145,Pokhara,NP,65.08,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
146,Shimoda,JP,52.38,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
147,Hobyo,SO,79.54,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
148,Cidreira,BR,82.47,overcast clouds,-30.1811,-50.2056,Hotel Castelo
149,Jinchang,CN,48.97,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
150,Laem Sing,TH,84.15,scattered clouds,12.4816,102.0738,Laemsing Whitehouse Resort
152,Goderich,CA,30.9,overcast clouds,43.7501,-81.7165,Harmony Inn
153,Saint-Francois,FR,60.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
154,Awjilah,LY,59.83,clear sky,29.1081,21.2869,المنزل
155,Petropavlovsk-Kamchatskiy,RU,32.59,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
156,Muroto,JP,56.43,overcast clouds,33.2833,134.15,Oota Ryokan
157,Zemio,CF,87.93,overcast clouds,5.0314,25.1361,OCHA Office
158,Prince Rupert,CA,40.69,light rain,54.3161,-130.3201,Crest Hotel
159,Caravelas,BR,83.23,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
160,Isoka,ZM,66.76,moderate rain,-10.1606,32.6335,Location Compound
161,Manono,CD,77.86,overcast clouds,-7.3,27.4167,Hotel hewa bora
162,Bilma,NE,86.49,clear sky,18.6853,12.9164,Expeditions Ténére voyages
165,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
166,Dodoma,TZ,82.31,scattered clouds,-6.1722,35.7395,Royal Village Hotel
167,Katsuura,JP,52.79,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
170,San Policarpo,PH,79.7,broken clouds,12.1791,125.5072,Agapita M. Nicart
171,Tecoanapa,MX,81.12,clear sky,16.5167,-98.75,Hotel Manglares
173,Ponta Do Sol,PT,69.12,scattered clouds,32.6667,-17.1,Hotel do Campo
174,Namibe,AO,75.65,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
175,Shingu,JP,44.4,broken clouds,33.7333,135.9833,Shingu UI Hotel
176,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
177,Umm Lajj,SA,72.84,overcast clouds,25.0213,37.2685,Moon light Furnished Units
178,Kabompo,ZM,71.47,overcast clouds,-13.5927,24.2008,Big Tree
179,Cacoal,BR,79.2,overcast clouds,-11.4386,-61.4472,Hotel BR 364
180,Hazorasp,UZ,55.24,overcast clouds,41.3194,61.0742,Kemping wifi hotel
181,Guerrero Negro,MX,60.87,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
183,Teguise,ES,61.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
187,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
188,Quatre Cocos,MU,80.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
191,Sur,OM,80.78,clear sky,22.5667,59.5289,Sur Plaza Hotel
192,Ribeira Brava,PT,69.12,few clouds,32.65,-17.0667,Hotel do Campo
194,Hamilton,US,48.74,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
195,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
196,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
197,Cabo San Lucas,MX,68.5,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
198,Moundsville,US,44.87,broken clouds,39.9203,-80.7431,Sleep Inn & Suites
199,Ahipara,NZ,62.42,few clouds,-35.1667,173.1667,Ahipara Holiday Park
200,Taltal,CL,69.42,scattered clouds,-25.4,-70.4833,Residencial Karime
201,Barcelona,ES,61.84,scattered clouds,41.3888,2.159,Axel Hotel Barcelona
202,San Quintin,MX,57.42,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
203,Weilheim,DE,52.95,clear sky,47.8333,11.15,Hotel Vollmann
204,Binga,ZW,79.21,few clouds,-17.6203,27.3414,Lakeview Inn Binga
205,Camana,PE,76.5,broken clouds,-16.6228,-72.7111,Hostal Morales
206,Foix,FR,52.09,overcast clouds,42.8333,1.5833,Résidence Thermale du Parc
207,Fuerte,PH,77.83,broken clouds,17.5381,120.3644,Giordion Inn
210,Puyang,CN,58.98,broken clouds,29.4603,119.8861,Xianhua Sandalwood Celebrity Hotel
212,Saint George,US,43.63,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
213,Karabulak,RU,32.99,overcast clouds,43.3036,44.8964,"Baza Otdykha ""Russkaya Banya"""
214,Cukai,MY,78.75,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
216,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
218,Victor Harbor,AU,61.0,clear sky,-35.5667,138.6167,McCracken Country Club
219,Sorland,NO,42.66,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
220,Nouakchott,MR,81.16,clear sky,18.0858,-15.9785,HOTEL IMAN
222,Chicama,PE,66.74,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
223,Marsa Matruh,EG,57.4,broken clouds,31.3525,27.2453,Beau Site
225,Mineros,BO,85.37,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
226,Sept-Iles,CA,30.72,broken clouds,50.2001,-66.3821,Comfort Inn
227,Isangel,VU,73.51,overcast clouds,-19.55,169.2667,Tanna Lodge
228,Broome,US,42.1,clear sky,42.2506,-75.833,Chenango Valley State Park
230,Perpignan,FR,62.24,clear sky,42.75,2.75,Le moulin a huile de l'agly
231,Ono,JP,47.14,broken clouds,34.85,134.9333,オーラ 小野店
232,Acarau,BR,84.76,overcast clouds,-2.8856,-40.12,castelo pizzaria
234,Mount Gambier,AU,48.11,broken clouds,-37.8333,140.7667,The Commodore
236,San Patricio,US,60.87,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
237,Half Moon Bay,US,56.3,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
238,Launceston,AU,51.62,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
239,General Roca,AR,72.3,broken clouds,-39.0333,-67.5833,Hotel El Recreo
241,Sayyan,YE,66.96,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
242,Caldas Novas,BR,84.83,overcast clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
245,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
247,Uige,AO,75.0,moderate rain,-7.6087,15.0613,Hotel Catraio
248,Tomohon,ID,68.94,broken clouds,1.3346,124.8392,Gardenia Country Inn
249,Halifax,CA,38.52,scattered clouds,44.6453,-63.5724,Hotel Halifax
250,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
252,Nantucket,US,44.65,few clouds,41.2835,-70.0995,Jared Coffin House
253,Victoria,HK,71.19,clear sky,22.2855,114.1577,Mini Hotel Central
255,Belmonte,BR,84.63,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
257,Jumla,NP,45.43,overcast clouds,29.2747,82.1838,Royal Garden Hotel
258,Sao Filipe,CV,72.55,clear sky,14.8961,-24.4956,Hotel Xaguate
260,Nagato,JP,43.2,overcast clouds,34.3833,131.2,いそう庵
261,Dingle,PH,75.94,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
262,Coihaique,CL,61.41,scattered clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
263,Miranda,CO,81.64,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
264,Mount Isa,AU,89.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
265,Bubaque,GW,76.93,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
267,Zhangzhou,CN,58.93,clear sky,24.5133,117.6556,Crowne Plaza Zhangzhou
268,Diego De Almagro,CL,78.82,clear sky,-26.3667,-70.05,hotel luna del desierto
269,Aliwal North,ZA,75.92,overcast clouds,-30.6937,26.7114,Queens Terrace B&B
270,Nata,PA,82.27,clear sky,8.3333,-80.5167,Rey David
272,Toccoa,US,52.18,overcast clouds,34.5773,-83.3324,Quality Inn
274,Mayo,US,48.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
277,Richards Bay,ZA,78.03,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
278,Victoria Point,AU,72.45,broken clouds,-27.5833,153.3,Bay Retreat Motel
279,Omboue,GA,81.16,light rain,-1.5746,9.2618,Hotel Olako
280,Noumea,NC,80.01,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
281,East London,ZA,77.94,clear sky,-33.0153,27.9116,Tu Casa
284,Ballitoville,ZA,80.74,few clouds,-29.539,31.2144,Hampshire Hotel-Ballito
285,Nizwa,OM,83.14,clear sky,22.9333,57.5333,Orient Apartments
287,Amuntai,ID,75.96,overcast clouds,-2.4177,115.2494,Hotel Balqis
288,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
289,Sibolga,ID,76.75,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
290,Carutapera,BR,82.74,overcast clouds,-1.195,-46.02,Lidera
291,Inhambane,MZ,85.98,scattered clouds,-23.865,35.3833,Oceano
292,Bethel,US,42.89,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
293,San Juan De Los Morros,VE,86.79,broken clouds,9.9115,-67.3538,Hotel La Montaña
296,Saint-Paul,RE,82.51,light rain,-21.0096,55.2707,Boucan Canot
297,Fortuna,US,44.65,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
299,Nordhausen,DE,52.68,clear sky,51.5167,10.8,Hotel Nordhausen
300,Ponferrada,ES,57.45,overcast clouds,42.5466,-6.5962,Hotel Temple Ponferrada
301,Bayonet Point,US,82.94,broken clouds,28.3267,-82.6834,"Holiday Inn Express & Suites Port Richey, an IHG Hotel"
302,Naze,JP,57.85,overcast clouds,28.3667,129.4833,Shishime Hotel
303,Emerald,AU,73.54,scattered clouds,-23.5333,148.1667,The Irish Village
305,Doha,QA,80.91,clear sky,25.2867,51.5333,Movenpick Hotel Doha
306,Faya,SA,75.31,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
307,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
308,Namatanai,PG,79.05,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
310,Lahaina,US,75.81,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
312,Nhulunbuy,AU,83.01,clear sky,-12.2333,136.7667,East Arnhem Real Estate
318,Eresos,GR,41.52,overcast clouds,39.1667,25.9333,Studio Aspa
319,Oga,IT,44.37,clear sky,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
320,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
321,Trairi,BR,85.57,overcast clouds,-3.2778,-39.2689,janelas do mar
322,Lagoa,PT,56.62,overcast clouds,39.05,-27.9833,Casa Das Faias
324,Faanui,PF,79.81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
325,Luau,AO,73.63,light rain,-10.7073,22.2247,Casa- Bernardo Cândido
326,Andenes,NO,40.98,broken clouds,69.3143,16.1194,Hotell Marena
327,Biloela,AU,72.28,overcast clouds,-24.4167,150.5,Biloela Silo Motor Inn
328,Vao,NC,79.11,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
329,Hervey Bay,AU,76.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
332,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
334,Te Anau,NZ,54.91,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
335,Port Macquarie,AU,66.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
336,La Roche-Sur-Yon,FR,53.87,light rain,46.6667,-1.4333,"The Originals City, Hôtel Napoléon, La Roche-sur-Yon (Inter-Hotel)"
337,Lalibela,ET,72.91,broken clouds,12.0333,39.0333,Honey Land Hotel Lalibela
338,Eirunepe,BR,83.98,overcast clouds,-6.6603,-69.8736,Atrás de você
342,Florence,IT,62.29,clear sky,43.7667,11.25,Hotel Nuova Italia
343,Bhag,PK,83.28,clear sky,29.0415,67.8239,Bukhari hotl
345,Shelburne,CA,31.91,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
349,Fomboni,KM,78.19,light rain,-12.28,43.7425,Auberge les abou
350,Oyabe,JP,37.89,clear sky,36.676,136.8672,wabisabi isurugi kashiwaya
353,Bandarbeyla,SO,78.71,overcast clouds,9.4942,50.8122,JABIR HOTEL
356,Bud,US,44.74,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
358,Ancud,CL,59.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
360,Kavieng,PG,81.55,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
361,Flinders,AU,64.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
363,Saldanha,ZA,82.45,few clouds,-33.0117,17.9442,Blue Bay Lodge
364,Rincon,US,67.95,overcast clouds,32.296,-81.2354,Days Inn Rincon
365,Margate,GB,56.3,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
366,Tuatapere,NZ,58.78,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
367,Vanimo,PG,77.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
369,Chamouny,MU,79.83,clear sky,-20.4822,57.4661,Shanti Maurice Resort & Spa
370,Xining,CN,48.92,few clouds,36.6167,101.7667,Super Leisure Hotel
371,Jieshi,CN,66.56,clear sky,22.8134,115.8257,Yuehai Hotel
372,Jalu,LY,60.04,clear sky,29.0331,21.5482,صاحبة الفخامة
373,Skjervoy,NO,44.6,broken clouds,70.0311,20.9714,Skjervøy fiskecamp AS
